School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockwood Summit,6.37,7.03,13.4,1,1,1
Washington,4.77,6.81,11.58,3,2,2
Farmington,5.35,5.05,10.4,2,7,3
Hillsboro,2.84,6.41,9.25,10,3,4
Capital City,3.41,5.74,9.16,7,5,5
McDonald County,3.18,5.25,8.43,8,6,6
Willard,1.69,6.01,7.71,16,4,7
Rolla,3.47,4.24,7.7,6,8,8
Webb City,3.66,3.94,7.6,5,10,9
Platte County,3.7,2.76,6.46,4,13,10
Nevada,2.42,3.46,5.89,12,11,11
Warrenton,1.22,4.12,5.33,21,9,12
Parkway North,1.67,2.91,4.58,17,12,13
Windsor (Imperial),1.6,2.74,4.34,18,14,14
Warrensburg,2.05,2.27,4.32,14,16,15
Neosho,2.12,2.1,4.22,13,17,16
Incarnate Word Academy,2.95,0.75,3.7,9,26,17
Webster Groves,1.59,1.95,3.53,19,18,18
Ft. Zumwalt East,2.51,0.67,3.18,11,27,19
Branson,1.38,1.52,2.9,20,20,20
West Plains,0.31,2.44,2.76,28,15,21
Marshfield,0.89,1.3,2.19,22,23,22
Kearney,1.73,0.01,1.74,15,30,23
Camdenton,0.23,1.44,1.67,29,22,24
St. Joseph's Academy,0.6,0.99,1.59,23,25,25
St. Charles,0.01,1.5,1.51,33,21,26
Lafayette (St. Joseph),-0.73,1.85,1.12,37,19,27
Excelsior Springs,-0.11,1.07,0.95,34,24,28
Jefferson City,0.46,-0.23,0.23,24,31,29
North County,0.43,-0.47,-0.03,25,34,30
Bolivar,0.35,-0.68,-0.33,27,36,31
Pacific,0.19,-0.55,-0.36,30,35,32
Sikeston,0.07,-0.47,-0.4,32,33,33
Festus,-0.29,-0.36,-0.65,35,32,34
Marshall,-1.13,0.14,-1.0,39,29,35
Smithville,-0.57,-1.19,-1.76,36,37,36
Nerinx Hall,-2.67,0.26,-2.41,46,28,37
Hannibal,-1.04,-1.79,-2.84,38,38,38
Central (Cape Girardeau),-1.16,-2.28,-3.44,40,39,39
Cor Jesu Academy,0.07,-3.58,-3.51,31,42,40
Harrisonville,-1.87,-3.01,-4.88,42,40,41
St. Teresa's Academy,0.42,-5.88,-5.46,26,48,42
Union,-1.94,-3.6,-5.55,43,43,43
Parkway Central,-1.61,-4.05,-5.66,41,44,44
Hillcrest,-2.84,-3.43,-6.27,47,41,45
William Chrisman,-1.98,-4.47,-6.45,44,45,46
Carl Junction,-1.99,-5.92,-7.91,45,49,47
North Point,-3.08,-5.08,-8.16,48,46,48
Affton,-3.74,-5.2,-8.93,49,47,49
DeSoto,-4.25,-9.15,-13.4,50,51,50
Winnetonka,-7.56,-7.78,-15.34,55,50,51
Ladue Horton Watkins,-4.82,-11.8,-16.62,51,55,52
Raytown South,-7.69,-9.31,-17.0,56,52,53
Rosati-Kain,-5.46,-12.2,-17.65,52,56,54
Hazelwood East,-5.46,-12.72,-18.18,53,57,55
McCluer North,-6.95,-11.73,-18.68,54,54,56
Parkview,-8.37,-11.52,-19.89,57,53,57
Ruskin,-8.43,-15.15,-23.58,58,59,58
Clayton,-10.65,-14.07,-24.72,59,58,59
Grandview,-12.28,-15.76,-28.04,60,60,60
Riverview Gardens,-12.49,-21.25,-33.74,61,61,61
McCluer,-15.04,-23.18,-38.22,62,62,62
