Date,Home Team,Home Score,Away Team,Away Score
2021-08-27,Neelyville,16,Alton,1
2021-08-27,St. Clair,13,Alton,0
2021-08-27,Joplin,12,Aurora,1
2021-08-27,Carl Junction,8,Aurora,9
2021-08-27,St. Teresa's Academy,10,Belton,9
2021-08-27,Liberty,12,Belton,0
2021-08-27,Lafayette (St. Joseph),4,Belton,3
2021-08-27,Lathrop,1,Benton,2
2021-08-27,Richmond,7,Benton,2
2021-08-27,Kelly,1,Blue Springs South,6
2021-08-27,Ft. Zumwalt North,0,Blue Springs South,15
2021-08-27,Eldon,3,Bolivar,8
2021-08-27,Hickman,1,Bowling Green,2
2021-08-27,Troy Buchanan,7,Bowling Green,0
2021-08-27,Savannah,4,California,3
2021-08-27,Cassville,2,Camdenton,12
2021-08-27,Republic,7,Camdenton,10
2021-08-27,DeKalb,1,Cameron,8
2021-08-27,Maysville,5,Cameron,1
2021-08-27,Joplin,15,Carl Junction,2
2021-08-27,Oakville,5,Carthage,0
2021-08-27,Cor Jesu Academy,2,Carthage,14
2021-08-27,Walnut Grove,2,Cassville,3
2021-08-27,Wheatland,11,Central (Springfield),0
2021-08-27,Lawson,5,Central (St. Joseph),7
2021-08-27,Trenton,0,Central (St. Joseph),12
2021-08-27,Maysville,7,Central (St. Joseph),4
2021-08-27,St. Charles,3,Centralia,18
2021-08-27,Kearney,13,Centralia,5
2021-08-27,Lafayette (St. Joseph),2,Centralia,4
2021-08-27,Pleasant Hill,3,Chillicothe,6
2021-08-27,Grain Valley,7,Chillicothe,1
2021-08-27,Slater,16,Community,14
2021-08-27,Silex,21,Cuba,7
2021-08-27,Hermitage,11,Dadeville,8
2021-08-27,Maysville,10,DeKalb,9
2021-08-27,Logan-Rogersville,15,DeSoto,1
2021-08-27,Northwest (Cedar Hill),14,DeSoto,1
2021-08-27,Pacific,15,DeSoto,0
2021-08-27,Van Buren,6,Doniphan,10
2021-08-27,Bolivar,2,Eureka,10
2021-08-27,Hillsboro,2,Eureka,9
2021-08-27,Eldon,1,Eureka,8
2021-08-27,Mid-Buchanan,1,Excelsior Springs,5
2021-08-27,Humansville,10,Fair Play,14
2021-08-27,Naylor,6,Farmington,9
2021-08-27,Fox,5,Farmington,3
2021-08-27,Helias Catholic,11,Father Tolton,0
2021-08-27,Mexico,3,Fatima,13
2021-08-27,Naylor,3,Fox,13
2021-08-27,St. Joseph's Academy,2,Francis Howell,8
2021-08-27,Perryville,3,Francis Howell,4
2021-08-27,Winfield,0,Francis Howell Central,3
2021-08-27,St. Dominic,4,Francis Howell Central,5
2021-08-27,Kelly,10,Ft. Zumwalt North,3
2021-08-27,Palmyra,6,Ft. Zumwalt South,1
2021-08-27,Hickman,3,Ft. Zumwalt South,8
2021-08-27,Francis Howell Central,7,Ft. Zumwalt South,5
2021-08-27,Liberty (Wentzville),1,Fulton,13
2021-08-27,Palmyra,1,Fulton,12
2021-08-27,Willard,3,Glendale,2
2021-08-27,Pleasant Hill,0,Grain Valley,16
2021-08-27,Van Buren,0,Greenville,10
2021-08-27,Troy Buchanan,12,Hannibal,0
2021-08-27,Lee's Summit,14,Harrisonville,2
2021-08-27,Platte County,6,Harrisonville,4
2021-08-27,Marion C. Early,9,Hartville,6
2021-08-27,Summit Christian Academy,3,Hartville,16
2021-08-27,Ritenour,14,Hazelwood West,3
2021-08-27,University City,1,Hazelwood West,15
2021-08-27,St. Dominic,13,Highland,2
2021-08-27,Branson,12,Hillcrest,0
2021-08-27,Bolivar,0,Hillsboro,13
2021-08-27,Eldon,1,Hillsboro,9
2021-08-27,Lee's Summit West,4,Holden,2
2021-08-27,Raytown,1,Holden,16
2021-08-27,Rock Bridge,8,Incarnate Word Academy,2
2021-08-27,Capital City,3,Jackson,1
2021-08-27,Windsor (Imperial),4,Jackson,2
2021-08-27,Owensville,0,Jackson,4
2021-08-27,Worth County,2,Jamestown,12
2021-08-27,Nixa,13,Kickapoo,5
2021-08-27,Liberty,11,Lafayette (St. Joseph),2
2021-08-27,Liberty North,2,Lafayette (Wildwood),1
2021-08-27,Ursuline Academy,5,Lafayette (Wildwood),14
2021-08-27,Richmond,3,Lathrop,6
2021-08-27,Trenton,2,Lawson,12
2021-08-27,Summit Christian Academy,2,Lebanon,15
2021-08-27,Marion C. Early,6,Lebanon,5
2021-08-27,Platte County,4,Lee's Summit,7
2021-08-27,Oak Park,1,Lee's Summit North,9
2021-08-27,Odessa,0,Lee's Summit North,18
2021-08-27,Raytown,0,Lee's Summit West,15
2021-08-27,Sherwood,7,Leeton,1
2021-08-27,Northwest (Cedar Hill),1,Logan-Rogersville,17
2021-08-27,Pacific,2,Logan-Rogersville,4
2021-08-27,Mehlville,2,Lutheran South,0
2021-08-27,Canton,12,Mark Twain,1
2021-08-27,Humansville,3,Montrose,16
2021-08-27,West Plains,3,Nevada,1
2021-08-27,Weaubleau,0,Nevada,12
2021-08-27,North Harrison,9,Northeast Nodaway,10
2021-08-27,Pacific,5,Northwest (Cedar Hill),13
2021-08-27,Madison,16,Novinger,6
2021-08-27,William Chrisman,5,Oak Grove,6
2021-08-27,Park Hill,10,Oak Grove,3
2021-08-27,Odessa,8,Oak Park,2
2021-08-27,Cor Jesu Academy,8,Oakville,14
2021-08-27,Webster Groves,14,Osage,5
2021-08-27,Webb City,16,Osage,1
2021-08-27,Linn,9,Osage,7
2021-08-27,Capital City,15,Owensville,0
2021-08-27,Windsor (Imperial),2,Owensville,1
2021-08-27,Jefferson City,0,Ozark,10
2021-08-27,William Chrisman,0,Park Hill,15
2021-08-27,Marquette,6,Parkway West,1
2021-08-27,Rock Bridge,11,Poplar Bluff,0
2021-08-27,Incarnate Word Academy,9,Poplar Bluff,8
2021-08-27,St. Teresa's Academy,0,Raymore-Peculiar,10
2021-08-27,Smithville,1,Raymore-Peculiar,7
2021-08-27,Walnut Grove,0,Republic,12
2021-08-27,Weaubleau,5,Republic,10
2021-08-27,Belle,11,Richland,3
2021-08-27,Sikeston,1,Rockwood Summit,13
2021-08-27,Holt,2,Rockwood Summit,7
2021-08-27,Cuba,4,Rolla,14
2021-08-27,Union,0,Rolla,18
2021-08-27,St. Joseph's Academy,7,Seckman,8
2021-08-27,Perryville,2,Seckman,13
2021-08-27,Willow Springs,0,Sherwood,4
2021-08-27,Holt,8,Sikeston,6
2021-08-27,St. Teresa's Academy,1,Smithville,18
2021-08-27,Tuscumbia,2,Van-Far,13
2021-08-27,Webster Groves,2,Webb City,4
2021-08-27,Linn,1,Webb City,7
2021-08-27,Warrenton,3,Timberland,4
2021-08-27,Washington,10,Timberland,7
2021-08-27,Kearney,6,St. Charles,5
2021-08-27,Liberty North,15,Ursuline Academy,2
2021-08-27,Westran,0,Vienna,10
2021-08-27,Willow Springs,2,Waynesville,11
2021-08-27,Leeton,7,Waynesville,1
2021-08-27,Linn,7,Webster Groves,8
2021-08-27,Capital City,15,Windsor (Imperial),2
2021-08-27,Notre Dame de Sion,10,Winnetonka,0
2021-08-28,Gallatin,9,Albany,3
2021-08-28,Worth County,13,Albany,5
2021-08-28,Branson,9,Aurora,1
2021-08-28,Hillcrest,6,Aurora,5
2021-08-28,Neelyville,15,Bakersfield,0
2021-08-28,East Carter,11,Bakersfield,0
2021-08-28,New Haven,6,Belle,2
2021-08-28,St. Charles,6,Belton,1
2021-08-28,Oak Park,7,Belton,10
2021-08-28,St. Teresa's Academy,10,Belton,9
2021-08-28,Mid-Buchanan,4,Benton,3
2021-08-28,DeKalb,6,Benton,7
2021-08-28,Meadville,1,Bevier,8
2021-08-28,Higbee,1,Bevier,4
2021-08-28,Carthage,5,Blue Springs South,17
2021-08-28,Liberty North,2,Blue Springs South,4
2021-08-28,Rockwood Summit,8,Blue Springs South,0
2021-08-28,Pacific,9,Bolivar,7
2021-08-28,Linn,8,Bolivar,5
2021-08-28,Eldon,3,Bolivar,8
2021-08-28,Fayette,4,Boonville,0
2021-08-28,Wright City,2,Boonville,10
2021-08-28,Moberly,2,Boonville,9
2021-08-28,Palmyra,5,Bowling Green,0
2021-08-28,St. Dominic,4,Bowling Green,9
2021-08-28,Marion C. Early,2,Camdenton,0
2021-08-28,West Plains,12,Camdenton,5
2021-08-28,Excelsior Springs,9,Cameron,0
2021-08-28,Richmond,5,Cameron,3
2021-08-28,Branson,17,Carl Junction,0
2021-08-28,Hillcrest,10,Carl Junction,6
2021-08-28,Versailles,2,Carrollton,4
2021-08-28,Pilot Grove,1,Carrollton,10
2021-08-28,Marshall,6,Carrollton,17
2021-08-28,Fox,3,Carthage,2
2021-08-28,Lafayette (Wildwood),2,Carthage,1
2021-08-28,Hartville,2,Cassville,4
2021-08-28,Republic,7,Cassville,8
2021-08-28,Chaffee,7,Central (Cape Girardeau),0
2021-08-28,Notre Dame (Cape Girardeau),20,Central (Cape Girardeau),2
2021-08-28,Dadeville,12,Central (Springfield),4
2021-08-28,Cameron,0,Central (St. Joseph),10
2021-08-28,Maysville,7,Central (St. Joseph),4
2021-08-28,Chillicothe,8,Centralia,0
2021-08-28,Platte County,13,Centralia,1
2021-08-28,Lafayette (St. Joseph),2,Centralia,6
2021-08-28,Holden,11,Chillicothe,4
2021-08-28,Odessa,6,Chillicothe,13
2021-08-28,Halfway,5,Clinton,1
2021-08-28,Gainesville,11,Clinton,0
2021-08-28,Reeds Spring,2,Clinton,8
2021-08-28,Ursuline Academy,16,Cor Jesu Academy,8
2021-08-28,Incarnate Word Academy,17,Cor Jesu Academy,2
2021-08-28,Humansville,5,Dadeville,17
2021-08-28,Mid-Buchanan,18,DeKalb,4
2021-08-28,Osage,7,DeSoto,8
2021-08-28,Eldon,15,DeSoto,5
2021-08-28,St. Clair,9,Dora,8
2021-08-28,Greenville,7,Dora,4
2021-08-28,North Platte,11,East Buchanan,10
2021-08-28,West Platte,3,East Buchanan,9
2021-08-28,Lexington,0,East Buchanan,15
2021-08-28,New Haven,5,Elsberry,1
2021-08-28,St. James,1,Elsberry,18
2021-08-28,Montgomery County,6,Elsberry,0
2021-08-28,New Franklin,4,Eugene,11
2021-08-28,Fayette,6,Eugene,3
2021-08-28,Capital City,3,Eureka,4
2021-08-28,Logan-Rogersville,0,Eureka,1
2021-08-28,Eldon,1,Eureka,8
2021-08-28,Maysville,3,Excelsior Springs,1
